id_municipio,sigla_uf,regiao,rede_descricao,alunos,indicador_previsto,indicador_real,meta_do_ano,taxa_ano_anterior,risco,gap_previsto_meta,sem_meta,risco_de_nao_atingir_meta,nome_municipio,sigla_uf_dim,perfil,nome_perfil
1101450,RO,Norte,Municipal,25,70.54,77.37,64.17,61.04,0.2946,6.37,False,False,Parecis,RO,3,Intermediário
1101484,RO,Norte,Municipal,26,65.94,88.75,57.76,53.34,0.3406,8.18,False,False,São Felipe D'Oeste,RO,3,Intermediário
1101492,RO,Norte,Municipal,89,70.06,58.32,68.1,65.78,0.2994,1.96,False,False,São Francisco do Guaporé,RO,1,Consolidado
1101500,RO,Norte,Municipal,71,72.31,70.31,65.81,63.04,0.2768999999999999,6.5,False,False,Seringueiras,RO,1,Consolidado
1101609,RO,Norte,Municipal,46,63.13,85.04,55.53,50.7,0.3687,7.6,False,False,Theobroma,RO,3,Intermediário
1101708,RO,Norte,Municipal,48,74.99,61.51,72.36,70.93,0.2501000000000001,2.63,False,False,Urupá,RO,1,Consolidado
1101757,RO,Norte,Municipal,30,62.87,53.27,43.54,36.95,0.3713000000000001,19.33,False,False,Vale do Anari,RO,3,Intermediário
1101807,RO,Norte,Municipal,30,64.78,61.07,59.72,55.73,0.35219999999999996,5.06,False,False,Vale do Paraíso,RO,3,Intermediário
1200013,AC,Norte,Municipal,69,43.02,56.48,,,0.5698,,True,False,Acrelândia,AC,0,Atenção
1200054,AC,Norte,Municipal,30,41.6,49.63,,,0.584,,True,False,Assis Brasil,AC,0,Atenção
1200104,AC,Norte,Estadual,27,57.4,57.81,,,0.42600000000000005,,True,False,Brasiléia,AC,0,Atenção
1200104,AC,Norte,Municipal,88,54.62,33.3,,,0.4538,,True,False,Brasiléia,AC,0,Atenção
1200138,AC,Norte,Municipal,53,42.91,34.02,,,0.5709,,True,False,Bujari,AC,0,Atenção
1200179,AC,Norte,Municipal,56,47.14,25.8,,,0.5286,,True,False,Capixaba,AC,0,Atenção
1200203,AC,Norte,Estadual,203,56.54,60.05,,,0.4346,,True,False,Cruzeiro do Sul,AC,0,Atenção
1200203,AC,Norte,Municipal,181,54.19,40.45,,,0.45810000000000006,,True,False,Cruzeiro do Sul,AC,0,Atenção
1200252,AC,Norte,Municipal,81,54.34,50.64,,,0.4566,,True,False,Epitaciolândia,AC,0,Atenção
1200302,AC,Norte,Estadual,75,51.63,76.05,,,0.4837,,True,False,Feijó,AC,0,Atenção
1200302,AC,Norte,Municipal,54,48.58,50.47,,,0.5142,,True,False,Feijó,AC,0,Atenção
1200328,AC,Norte,Municipal,21,41.66,19.52,,,0.5834,,True,False,Jordão,AC,0,Atenção
1200336,AC,Norte,Municipal,63,48.01,40.04,,,0.5199,,True,False,Mâncio Lima,AC,0,Atenção
1200344,AC,Norte,Municipal,53,42.84,40.94,,,0.5715999999999999,,True,False,Manoel Urbano,AC,0,Atenção
1200351,AC,Norte,Municipal,38,45.6,68.62,,,0.544,,True,False,Marechal Thaumaturgo,AC,0,Atenção
1200385,AC,Norte,Municipal,54,49.29,26.83,,,0.5071,,True,False,Plácido de Castro,AC,0,Atenção
1200393,AC,Norte,Municipal,35,45.09,38.88,,,0.5490999999999999,,True,False,Porto Walter,AC,0,Atenção
1200401,AC,Norte,Estadual,1015,58.19,54.03,,,0.4181,,True,False,Rio Branco,AC,0,Atenção
1200401,AC,Norte,Municipal,455,49.85,58.53,,,0.5015000000000001,,True,False,Rio Branco,AC,0,Atenção
1200427,AC,Norte,Municipal,36,44.76,34.77,,,0.5524,,True,False,Rodrigues Alves,AC,0,Atenção
1200435,AC,Norte,Municipal,21,49.26,4.68,,,0.5074000000000001,,True,False,Santa Rosa do Purus,AC,0,Atenção
